Reference Area,Time Period,Sex,Value
Dominican Republic,2005,Female,88.9661
Dominican Republic,2005,Male,75.3193
Dominican Republic,2005,Total,82.44543
Dominican Republic,2004,Female,87.83939
Dominican Republic,2004,Male,70.72298
Dominican Republic,2004,Total,79.43657
Dominican Republic,2002,Total,79.62063
Dominican Republic,2000,Female,68.48943
Dominican Republic,2000,Male,86.59603
Dominican Republic,2000,Total,75.9592
Ecuador,2016,Female,77.58563
Ecuador,2016,Male,67.48927
Ecuador,2016,Total,72.92174
Ecuador,2015,Female,76.98505
Ecuador,2015,Male,66.48164
Ecuador,2015,Total,72.0578
Ecuador,2014,Female,77.34333
Ecuador,2014,Male,66.04792
Ecuador,2014,Total,71.93198
Ecuador,2013,Female,77.0559
Ecuador,2013,Male,64.67625
Ecuador,2013,Total,70.96169
Ecuador,2012,Female,75.96336
Ecuador,2012,Male,62.95165
Ecuador,2012,Total,69.46297
Ecuador,2011,Female,75.11012
Ecuador,2011,Male,63.09116
Ecuador,2011,Total,69.11385
Ecuador,2010,Female,66.07528
Ecuador,2010,Male,56.92518
Ecuador,2010,Total,61.50845
Ecuador,2007,Female,76.59754
Ecuador,2007,Male,64.27506
Ecuador,2007,Total,70.40581
Ecuador,2006,Female,76.47676
Ecuador,2006,Male,63.89057
Ecuador,2006,Total,70.12193
Ecuador,2005,Female,76.00402
Ecuador,2005,Male,63.60909
Ecuador,2005,Total,69.73068
Ecuador,2004,Female,75.82742
Ecuador,2004,Male,62.93439
Ecuador,2004,Total,69.16872
Ecuador,2003,Female,76.03125
Ecuador,2003,Male,63.29057
Ecuador,2003,Total,69.48311
Ecuador,2002,Female,73.98357
Ecuador,2002,Male,60.32961
Ecuador,2002,Total,66.91386
Ecuador,2001,Female,93.46415
Ecuador,2001,Male,89.49879
Ecuador,2001,Total,91.41098
Ecuador,2000,Female,89.81407
Ecuador,2000,Male,83.64246
Ecuador,2000,Total,86.61847
Egypt,2014,Female,65.45294
Egypt,2014,Male,58.67643
Egypt,2014,Total,61.51173
El Salvador,2015,Female,91.45256
El Salvador,2015,Male,88.62126
El Salvador,2015,Total,90.05248
El Salvador,2011,Female,91.18203
El Salvador,2011,Male,86.68738
El Salvador,2011,Total,88.86345
El Salvador,2009,Total,92.51557
El Salvador,2008,Female,85.82946
El Salvador,2008,Male,80.87819
El Salvador,2008,Total,83.24204
El Salvador,2007,Female,82.67386
El Salvador,2007,Male,82.8066
El Salvador,2007,Total,82.74815
El Salvador,2005,Female,85.04039
El Salvador,2005,Male,81.69119
El Salvador,2005,Total,83.15034
El Salvador,2004,Female,86.30413
El Salvador,2004,Male,81.10883
El Salvador,2004,Total,83.36
El Salvador,2003,Female,87.58284
El Salvador,2003,Male,80.53354
El Salvador,2003,Total,83.57132
Eritrea,2013,Female,83.66248
Eritrea,2013,Male,79.19809
Eritrea,2013,Total,80.0065
